crew,return,title,release_date,budget,revenue
Harvey Harrison,0,A Connecticut Yankee in King Arthur's Court,1989-12-18,0.0,0.0
Roger Birnbaum,0,Stick It,2006-04-21,0.0,0.0
Toshihiro Isomi,0,Shinobi: Heart Under Blade,2005-09-17,0.0,0.0
Craig R. Baxley,2.8938535714285716,Action Jackson,1988-02-12,7000000.0,20256975.0
Jina Jay,0.13929896103896103,Coriolanus,2011-02-14,7700000.0,1072602.0
Jonathan Zarantonello,0,The Butterfly Room,2012-08-04,0.0,1081.0
Oliver Parker,0,Truth or Dare,2012-08-05,0.0,0.0
Hilary Duff,0,Material Girls,2006-08-18,0.0,11449638.0
Claude Chabrol,0,The Third Lover,1962-05-02,0.0,0.0
Jack Cardiff,0,The Far Pavilions,1984-04-21,0.0,0.0
John Christian Rosenlund,0,The Color of Milk,2004-08-27,0.0,0.0
Jerzy Hoffman,0,Gangsters and Philantropists,1963-02-15,0.0,0.0
Pamela Anderson,0,Blonde and Blonder,2008-01-18,0.0,0.0
Leonide Moguy,0,Action in Arabia,1944-02-18,0.0,0.0
Zeki Ökten,0,Hanzo,1975-04-01,0.0,0.0
Alan Silvestri,0,Flight of the Navigator,1986-07-30,0.0,18564613.0
Henry Mancini,0,Dear Heart,1964-12-02,0.0,0.0
Theo van Gogh,0,1-900,1994-09-01,0.0,0.0
Ennio Morricone,0,Gente Di Rispetto,1975-10-30,0.0,0.0
Vlady Pildysh,0.0,Heartstopper,2006-01-01,3000000.0,0.0
Mark von Sternberg,0,Love Simple,2009-07-31,0.0,0.0
Mate Matišić,0,Fine Dead Girls,2002-06-24,0.0,0.0
Dennis Hopper,7.7693445,Colors,1988-04-15,6000000.0,46616067.0
Brian Grazer,2.7272463333333334,Katy Perry: Part of Me,2012-06-28,12000000.0,32726956.0
Mick Garris,0.8473984444444445,Critters 2,1988-04-29,4500000.0,3813293.0
Mark A. Mangini,2.0096904375,Alien Nation,1988-10-07,16000000.0,32155047.0
Frank Tashlin,0,Bachelor Flat,1962-01-12,0.0,0.0
Philip Dunne,0,Ten North Frederick,1958-05-22,0.0,0.0
Harry Kurnitz,0,"See Here, Private Hargrove",1944-03-18,0.0,0.0
Joseph Vilsmaier,0,Herbstmilch,1989-01-19,0.0,0.0
Greydon Clark,0,Skinheads,1989-08-08,0.0,0.0
Leslie Fenton,0,"Tomorrow, the World!",1944-12-29,0.0,0.0
Debra Zane,6.518641938461538,The Hunger Games: Catching Fire,2013-11-15,130000000.0,847423452.0
Michael Apted,0.0,Gorillas in the Mist,1988-09-23,22000000.0,0.0
Michael Kahn,0,Rage,1972-11-22,0.0,0.0
Virginia Darcy,0,Ride Beyond Vengeance,1966-05-09,0.0,0.0
Brian Helgeland,10.357142857142858,A Nightmare on Elm Street 4: The Dream Master,1988-08-19,7000000.0,72500000.0
Robert Richardson,0.867143,Talk Radio,1988-12-21,4000000.0,3468572.0
James Head,0,The Spiral Staircase,2000-04-02,0.0,0.0
Mary Jo Slater,0,The Forger,2011-03-09,0.0,0.0
Michael Andrews,0.0,Cypher,2002-10-01,7500000.0,0.0
Alain Tanner,0,Light Years Away,1981-05-20,0.0,0.0
Pablo Trapero,0,Crane World,1999-06-17,0.0,0.0
Albert Pyun,20.332918,Cyborg,1989-04-07,500000.0,10166459.0
Paulo Branco,0,The Spousals of God,1999-10-15,0.0,0.0
Dean Cundey,2.0033352,Road House,1989-05-19,15000000.0,30050028.0
Dieudonné M'bala M'bala,0.0,L'Antisémite,2012-03-21,90000.0,0.0
Robert D. Wachs,3.19271756,The Golden Child,1986-12-12,25000000.0,79817939.0
Jan Batory,0,A Cure for Love,1966-07-20,0.0,0.0
Roger Mussenden,0,The Wonderful Ice Cream Suit,1998-01-23,0.0,0.0
Alan Silvestri,2.256656894736842,Stuart Little,1999-12-17,133000000.0,300135367.0
Nicklas Karpaty,0,The Queen and I,2008-11-20,0.0,0.0
Justin Theroux,3.119666655,Iron Man 2,2010-04-28,200000000.0,623933331.0
Minoru Miki,0,Utamaro and His Five Women,1946-12-17,0.0,0.0
Adolph Zukor,0,With Byrd at the South Pole,1930-06-28,0.0,0.0
Bruce Cohen,2.7293292,Milk,2008-11-26,20000000.0,54586584.0
Mark Robins,2.6818465612903224,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,155000000.0,415686217.0
Frank Oz,0,Dirty Rotten Scoundrels,1988-12-14,0.0,42039085.0
Brian De Palma,0.8298363111111111,Casualties of War,1989-08-18,22500000.0,18671317.0
Michel Monty,0,Burden of Evil,2012-04-22,0.0,0.0
