title,cast,return
History of the World: Part I,Mel Brooks,2.8793551818181817
Marathon,Sara Paul,0
Police Academy 2: Their First Assignment,Steve Guttenberg,0
White Men Can't Jump,Wesley Snipes,0
The Rundown,Dwayne Johnson,0.9519587294117647
God Is My Co-Pilot,Dane Clark,0
A Nightmare on Elm Street 5: The Dream Child,Robert Englund,2.771044875
Pax Americana and the Weaponization of Space,George W. Bush,0
My Left Foot: The Story of Christy Brown,Daniel Day-Lewis,22.85159335379274
Waking Ned,Ian Bannen,0
The Lawnmower Man,Jeff Fahey,3.2101
Cadillac Man,Robin Williams,0
Fear and Desire,Frank Silvera,0.0
Erotic Games in the Third Galaxy,Sherry Buchanan,0
The Magnificent Yankee,Louis Calhern,0
The Witches,Anjelica Huston,0
V,Marc Singer,0
Hayabusa,Katsuhisa Namase,0
Mother's Day,Rebecca De Mornay,0.0
Half Past Dead,Steven Seagal,0.0
The Freshman,Marlon Brando,0
Men at Work,Charlie Sheen,0
The Russia House,Sean Connery,0.0
Voyager,Sam Shepard,0
Unguarded,,0
Are We Done Yet?,John C. McGinley,0
Nailbiter,Joicie Appell,0
Marked for Death,Steven Seagal,3.8370333333333333
The Magic of Belle Isle,Morgan Freeman,0
Zombie Ass: Toilet of the Dead,Arisa Nakamura,0
Madonna: Truth or Dare,Madonna,7.25
Inn of Evil,Tatsuya Nakadai,0
Tsumugi,Sola Aoi,0
The Quiet Earth,Bruno Lawrence,0.0
A Barefoot Dream,Park Hee-soon,0
Evil Aliens,Emily Booth,0.0
The Last Chance,Ewart G. Morrison,0
The Caine Mutiny,Humphrey Bogart,10.875
Zameen,Ajay Devgn,0
The Ice Pirates,Robert Urich,0.0
Elfie Hopkins,Ray Winstone,0
Mulholland Drive,Naomi Watts,1.3411559333333334
Flickering Lights,Søren Pilmark,0
Year of the Devil,Jaromír Nohavica,0
Sam Peckinpah: Man of Iron,Sam Peckinpah,0
The Mad Doctor,Walt Disney,0
Game Over,,0
Frozen River,Melissa Leo,0
Game Over,Reino Nordin,0
He's Just Not That Into You,Ben Affleck,4.431486025
The Midnight Meat Train,Bradley Cooper,0.23554846666666668
Shuffle,T. J. Thyne,0.0
The Movies,Lloyd Hamilton,0
The Rocker,Rainn Wilson,0.5841926666666667
Go Tigers!,,0
Swing Vote,Kevin Costner,0.8380952380952381
The Sisterhood of the Traveling Pants 2,Alexis Bledel,1.6426821111111112
Spinning Boris,Jeff Goldblum,0
Pineapple Express,Seth Rogen,3.763883074074074
Boris and Natasha,John Travolta,0
Towelhead,Summer Bishil,0
Through the Forest,Camille Berthomier,0
Shanghai Dreams,Gao Yuanyuan,0
How to Train Your Dragon,Jay Baruchel,2.999265206060606
